iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
13,7854.828680819211,2023-02-25 23:50:59.452644,2023-02-25 23:50:59.647260,0 days 00:00:00.194616,5.4,0.0004065221505577556,0.1,0.07685211634914828,20,3567,epsilon_insensitive,2805146,False,l2,COMPLETE
5,8837.276498303228,2023-02-25 23:50:57.355354,2023-02-25 23:50:57.597046,0 days 00:00:00.241692,4.2,0.0007656640549091517,0.7000000000000001,0.08564733849872369,12,529,epsilon_insensitive,8488170,False,l1,COMPLETE
8,11537.177115115734,2023-02-25 23:50:58.214700,2023-02-25 23:50:58.705133,0 days 00:00:00.490433,8.7,7.258864010900378e-05,0.9,0.09475917318911756,17,5097,squared_epsilon_insensitive,5141544,False,l1,COMPLETE
87,11537.177115115734,2023-02-25 23:51:43.087029,2023-02-25 23:51:43.430089,0 days 00:00:00.343060,6.2,2.6759354618773608e-05,0.9,0.009147337497857788,16,9120,squared_epsilon_insensitive,6473283,True,l1,COMPLETE
47,11612.312332168294,2023-02-25 23:51:10.917509,2023-02-25 23:51:11.215582,0 days 00:00:00.298073,6.4,9.327585810880621e-05,0.30000000000000004,0.002159159796158792,18,6696,squared_epsilon_insensitive,7781704,True,l1,COMPLETE
39,11634.411815492207,2023-02-25 23:51:06.725254,2023-02-25 23:51:06.969496,0 days 00:00:00.244242,7.8,0.0002478314920933334,0.6,0.016655287812447683,20,8981,squared_epsilon_insensitive,6167212,True,l1,COMPLETE
58,11671.208817806231,2023-02-25 23:51:16.120371,2023-02-25 23:51:16.412869,0 days 00:00:00.292498,6.2,7.185842854835056e-05,0.4,0.0010487424437660004,15,6204,squared_epsilon_insensitive,9345477,True,l1,COMPLETE
6,11754.918061375976,2023-02-25 23:50:57.597502,2023-02-25 23:50:57.934458,0 days 00:00:00.336956,0.6,0.0006845000233689666,0.8,0.055082410654933196,17,3088,squared_epsilon_insensitive,5290544,True,l1,COMPLETE
69,11755.103811603096,2023-02-25 23:51:25.654770,2023-02-25 23:51:26.185405,0 days 00:00:00.530635,5.9,5.054922227224953e-05,0.8,0.030648433333669695,6,9349,squared_epsilon_insensitive,5739047,True,l1,COMPLETE
99,11802.595007652788,2023-02-25 23:51:55.182008,2023-02-25 23:51:55.536361,0 days 00:00:00.354353,7.1,0.0001390638644495205,1.0,0.00623324593284758,17,6296,squared_epsilon_insensitive,6764316,True,l1,COMPLETE
26,26291.32284943129,2023-02-25 23:51:02.174237,2023-02-25 23:51:02.382935,0 days 00:00:00.208698,3.1,0.00044794049444783627,1.0,0.08250710413713713,15,4787,squared_epsilon_insensitive,4141252,True,l2,COMPLETE
7,26291.330337813542,2023-02-25 23:50:57.934892,2023-02-25 23:50:58.214315,0 days 00:00:00.279423,2.0,2.3958857023402393e-05,0.7000000000000001,0.02448300138331645,15,5805,squared_epsilon_insensitive,7963940,True,l2,COMPLETE
29,26291.333488352502,2023-02-25 23:51:02.810908,2023-02-25 23:51:03.058697,0 days 00:00:00.247789,3.6,0.00027061538622805744,0.6,0.07752001935743166,8,8491,squared_epsilon_insensitive,4207305,False,l2,COMPLETE
18,26291.336411377986,2023-02-25 23:51:00.471562,2023-02-25 23:51:00.657878,0 days 00:00:00.186316,3.3000000000000003,0.00021581459650335392,0.5,0.06423617588334085,10,9857,squared_epsilon_insensitive,3666841,True,l2,COMPLETE
0,26291.337152238986,2023-02-25 23:50:56.296696,2023-02-25 23:50:56.458924,0 days 00:00:00.162228,6.8,0.0002898577939195511,0.4,0.0064860535051706,9,543,squared_epsilon_insensitive,5437309,False,l2,COMPLETE
