iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
205,2823.4765625,2022-06-03 08:58:54.592979,2022-06-03 09:01:19.390934,0 days 00:02:24.797955,114.0,1966.0,120.0,155.0,941.0,507.0,COMPLETE
413,2823.547119140625,2022-06-04 10:08:45.125531,2022-06-04 10:11:24.008124,0 days 00:02:38.882593,158.0,1896.0,120.0,154.0,855.0,577.0,COMPLETE
173,2823.5556640625,2022-06-03 07:03:35.263893,2022-06-03 07:06:39.752168,0 days 00:03:04.488275,146.0,1822.0,120.0,167.0,984.0,556.0,COMPLETE
190,2823.5615234375,2022-06-03 08:10:21.268878,2022-06-03 08:13:27.964631,0 days 00:03:06.695753,119.0,1840.0,120.0,176.0,984.0,568.0,COMPLETE
270,2823.5849609375,2022-06-03 23:36:13.556152,2022-06-03 23:39:34.383073,0 days 00:03:20.826921,200.0,1720.0,120.0,154.0,972.0,601.0,COMPLETE
466,2823.627197265625,2022-06-04 14:45:48.169089,2022-06-04 14:54:23.650172,0 days 00:08:35.481083,172.0,1932.0,120.0,145.0,922.0,1848.0,COMPLETE
395,2823.631103515625,2022-06-04 08:51:37.832109,2022-06-04 08:54:12.788681,0 days 00:02:34.956572,145.0,1931.0,120.0,144.0,891.0,553.0,COMPLETE
218,2823.72607421875,2022-06-03 09:38:58.248741,2022-06-03 09:40:53.172930,0 days 00:01:54.924189,90.0,1973.0,120.0,139.0,494.0,565.0,COMPLETE
101,2823.76416015625,2022-06-03 00:56:04.371486,2022-06-03 01:03:53.948002,0 days 00:07:49.576516,172.0,1904.0,120.0,196.0,922.0,1744.0,COMPLETE
308,2823.822998046875,2022-06-04 02:16:24.084556,2022-06-04 02:19:38.412219,0 days 00:03:14.327663,140.0,1961.0,120.0,157.0,984.0,582.0,COMPLETE
225,2823.899169921875,2022-06-03 10:11:29.203344,2022-06-03 10:18:58.208540,0 days 00:07:29.005196,113.0,1950.0,120.0,137.0,971.0,1281.0,COMPLETE
67,2823.91064453125,2022-06-02 21:03:19.682633,2022-06-02 21:09:21.684374,0 days 00:06:02.001741,140.0,1818.0,120.0,137.0,928.0,1299.0,COMPLETE
367,2823.917236328125,2022-06-04 06:24:38.591079,2022-06-04 06:27:21.621834,0 days 00:02:43.030755,107.0,1997.0,120.0,161.0,920.0,601.0,COMPLETE
399,2823.92724609375,2022-06-04 09:08:12.360610,2022-06-04 09:15:36.536704,0 days 00:07:24.176094,152.0,1661.0,120.0,161.0,971.0,1297.0,COMPLETE
168,2823.928466796875,2022-06-03 06:26:44.713560,2022-06-03 06:32:53.986298,0 days 00:06:09.272738,148.0,1842.0,120.0,155.0,941.0,1309.0,COMPLETE
228,2824.004638671875,2022-06-03 10:34:12.455046,2022-06-03 10:41:20.616457,0 days 00:07:08.161411,116.0,1885.0,120.0,145.0,959.0,1238.0,COMPLETE
276,2824.030517578125,2022-06-03 23:53:43.265203,2022-06-04 00:00:25.359654,0 days 00:06:42.094451,147.0,1953.0,120.0,181.0,916.0,1511.0,COMPLETE
474,2824.31787109375,2022-06-04 15:25:29.387534,2022-06-04 15:27:57.912786,0 days 00:02:28.525252,160.0,1816.0,120.0,161.0,493.0,735.0,COMPLETE
432,2824.486328125,2022-06-04 11:36:17.934768,2022-06-04 11:43:09.799876,0 days 00:06:51.865108,157.0,1854.0,120.0,150.0,725.0,1564.0,COMPLETE
427,2824.643310546875,2022-06-04 11:13:36.805802,2022-06-04 11:15:59.835629,0 days 00:02:23.029827,148.0,1744.0,120.0,153.0,947.0,501.0,COMPLETE
438,2824.935791015625,2022-06-04 12:00:10.122583,2022-06-04 12:03:01.213167,0 days 00:02:51.090584,148.0,1943.0,120.0,148.0,947.0,596.0,COMPLETE
108,2825.023681640625,2022-06-03 01:46:10.609457,2022-06-03 01:53:50.490546,0 days 00:07:39.881089,166.0,1951.0,121.0,171.0,838.0,1738.0,COMPLETE
249,2825.070556640625,2022-06-03 11:44:49.193107,2022-06-03 11:50:44.697117,0 days 00:05:55.504010,110.0,1861.0,120.0,181.0,947.0,1270.0,COMPLETE
389,2828.165771484375,2022-06-04 08:16:32.451241,2022-06-04 08:19:31.436521,0 days 00:02:58.985280,153.0,1792.0,123.0,139.0,1000.0,523.0,COMPLETE
404,2828.27685546875,2022-06-04 09:28:53.011834,2022-06-04 09:31:40.245664,0 days 00:02:47.233830,143.0,1912.0,123.0,159.0,1000.0,501.0,COMPLETE
191,2828.51171875,2022-06-03 08:13:27.964939,2022-06-03 08:15:56.887835,0 days 00:02:28.922896,133.0,1924.0,123.0,160.0,948.0,550.0,COMPLETE
307,2828.538818359375,2022-06-04 02:09:59.423643,2022-06-04 02:16:24.084313,0 days 00:06:24.660670,124.0,1887.0,123.0,167.0,1000.0,1163.0,COMPLETE
295,2828.55322265625,2022-06-04 01:18:46.468027,2022-06-04 01:21:37.904212,0 days 00:02:51.436185,81.0,1742.0,123.0,166.0,985.0,502.0,COMPLETE
227,2828.589111328125,2022-06-03 10:26:33.991455,2022-06-03 10:34:12.454775,0 days 00:07:38.463320,94.0,1959.0,123.0,141.0,1000.0,1341.0,COMPLETE
454,2828.5947265625,2022-06-04 13:29:27.171228,2022-06-04 13:36:47.889167,0 days 00:07:20.717939,148.0,1897.0,123.0,172.0,1000.0,1338.0,COMPLETE
253,2828.62255859375,2022-06-03 22:25:06.300445,2022-06-03 22:32:29.453835,0 days 00:07:23.153390,148.0,1979.0,123.0,190.0,1000.0,1364.0,COMPLETE
382,2828.64208984375,2022-06-04 07:34:29.563910,2022-06-04 07:41:35.903411,0 days 00:07:06.339501,165.0,2000.0,123.0,151.0,1000.0,1267.0,COMPLETE
495,2828.646728515625,2022-06-04 17:05:08.805067,2022-06-04 17:08:51.690837,0 days 00:03:42.885770,162.0,1892.0,123.0,165.0,989.0,651.0,COMPLETE
419,2828.697021484375,2022-06-04 10:42:38.703113,2022-06-04 10:49:21.725738,0 days 00:06:43.022625,142.0,1706.0,123.0,146.0,1000.0,1190.0,COMPLETE
