iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
460,2419.96540335954,2023-01-30 15:24:50.815618,2023-01-30 15:25:14.520824,0 days 00:00:23.705206,10,0.8,20,500,5,COMPLETE
459,2419.96540335954,2023-01-30 15:24:22.096709,2023-01-30 15:24:43.528154,0 days 00:00:21.431445,10,0.8,20,500,5,COMPLETE
458,2419.96540335954,2023-01-30 15:23:55.371875,2023-01-30 15:24:17.385683,0 days 00:00:22.013808,10,0.8,20,500,5,COMPLETE
457,2419.96540335954,2023-01-30 15:23:29.896207,2023-01-30 15:23:50.953710,0 days 00:00:21.057503,10,0.8,20,500,5,COMPLETE
456,2419.96540335954,2023-01-30 15:23:04.327322,2023-01-30 15:23:25.318924,0 days 00:00:20.991602,10,0.8,20,500,5,COMPLETE
455,2419.96540335954,2023-01-30 15:22:37.650679,2023-01-30 15:22:59.214600,0 days 00:00:21.563921,10,0.8,20,500,5,COMPLETE
453,2419.96540335954,2023-01-30 15:21:36.387888,2023-01-30 15:22:04.038820,0 days 00:00:27.650932,10,0.8,20,500,5,COMPLETE
452,2419.96540335954,2023-01-30 15:20:59.043919,2023-01-30 15:21:20.262887,0 days 00:00:21.218968,10,0.8,20,500,5,COMPLETE
451,2419.96540335954,2023-01-30 15:20:29.662514,2023-01-30 15:20:50.498905,0 days 00:00:20.836391,10,0.8,20,500,5,COMPLETE
450,2419.96540335954,2023-01-30 15:20:03.850695,2023-01-30 15:20:25.480837,0 days 00:00:21.630142,10,0.8,20,500,5,COMPLETE
449,2419.96540335954,2023-01-30 15:19:38.464856,2023-01-30 15:19:59.601283,0 days 00:00:21.136427,10,0.8,20,500,5,COMPLETE
448,2419.96540335954,2023-01-30 15:19:09.610005,2023-01-30 15:19:31.289383,0 days 00:00:21.679378,10,0.8,20,500,5,COMPLETE
447,2419.96540335954,2023-01-30 15:18:43.053608,2023-01-30 15:19:04.943556,0 days 00:00:21.889948,10,0.8,20,500,5,COMPLETE
446,2419.96540335954,2023-01-30 15:18:17.882900,2023-01-30 15:18:38.897699,0 days 00:00:21.014799,10,0.8,20,500,5,COMPLETE
445,2419.96540335954,2023-01-30 15:17:48.133536,2023-01-30 15:18:10.464893,0 days 00:00:22.331357,10,0.8,20,500,5,COMPLETE
444,2419.96540335954,2023-01-30 15:17:06.497945,2023-01-30 15:17:41.402635,0 days 00:00:34.904690,10,0.8,20,500,5,COMPLETE
443,2419.96540335954,2023-01-30 15:16:40.144126,2023-01-30 15:17:01.853936,0 days 00:00:21.709810,10,0.8,20,500,5,COMPLETE
442,2419.96540335954,2023-01-30 15:16:14.747521,2023-01-30 15:16:35.930342,0 days 00:00:21.182821,10,0.8,20,500,5,COMPLETE
441,2419.96540335954,2023-01-30 15:15:49.542719,2023-01-30 15:16:10.415154,0 days 00:00:20.872435,10,0.8,20,500,5,COMPLETE
440,2419.96540335954,2023-01-30 15:15:10.865943,2023-01-30 15:15:43.180767,0 days 00:00:32.314824,10,0.8,20,500,5,COMPLETE
467,2419.96540335954,2023-01-30 15:28:19.429392,2023-01-30 15:28:44.825459,0 days 00:00:25.396067,10,0.8,20,500,5,COMPLETE
439,2419.96540335954,2023-01-30 15:14:45.560711,2023-01-30 15:15:06.779920,0 days 00:00:21.219209,10,0.8,20,500,5,COMPLETE
468,2419.96540335954,2023-01-30 15:29:03.394938,2023-01-30 15:29:24.665269,0 days 00:00:21.270331,10,0.8,20,500,5,COMPLETE
470,2419.96540335954,2023-01-30 15:29:55.270188,2023-01-30 15:30:16.224281,0 days 00:00:20.954093,10,0.8,20,500,5,COMPLETE
497,2419.96540335954,2023-01-30 15:43:22.483815,2023-01-30 15:43:44.327677,0 days 00:00:21.843862,10,0.8,20,500,5,COMPLETE
496,2419.96540335954,2023-01-30 15:42:56.579774,2023-01-30 15:43:17.917096,0 days 00:00:21.337322,10,0.8,20,500,5,COMPLETE
494,2419.96540335954,2023-01-30 15:41:52.170184,2023-01-30 15:42:24.494633,0 days 00:00:32.324449,10,0.8,20,500,10,COMPLETE
